epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,52157,1.08361,0.73964,1.10326,0.72517,0.61908,0.68657,0.47135,1.21023,0.91304,1.29673,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,52834.6,1.07887,0.73645,1.10009,0.72535,0.6191,0.68677,0.47149,1.21015,0.91252,1.29675,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,53511.7,1.09799,0.75317,1.11141,0.72536,0.61944,0.687,0.47162,1.21003,0.91197,1.29676,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,54191.5,1.08786,0.74264,1.1081,0.72668,0.61886,0.68712,0.47184,1.20995,0.91154,1.29678,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,54866.6,1.09394,0.74628,1.10822,0.72781,0.61858,0.68734,0.47199,1.20971,0.91132,1.29687,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,55544.4,1.08813,0.74764,1.11331,0.72774,0.61888,0.68743,0.47209,1.20969,0.91105,1.29709,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,56220.2,1.07613,0.7329,1.10048,0.72715,0.6199,0.68752,0.4722,1.20969,0.91078,1.2971,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,56897.9,1.07785,0.72984,1.09936,0.7271,0.62006,0.68755,0.47224,1.20961,0.9102,1.29709,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,57575.1,1.07714,0.73773,1.10154,0.72802,0.61977,0.68782,0.47227,1.2098,0.90968,1.29718,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,58251.8,1.08482,0.73501,1.10525,0.728,0.6198,0.6879,0.47236,1.20983,0.90928,1.29709,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,58929.1,1.07386,0.72709,1.09177,0.72734,0.62087,0.68814,0.47272,1.20988,0.90876,1.29679,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,59606.9,1.07291,0.72519,1.092,0.72867,0.62011,0.68813,0.47259,1.20983,0.90829,1.29635,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,60287,1.0688,0.72518,1.0999,0.72861,0.62034,0.68837,0.47276,1.20985,0.90783,1.29627,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,60969,1.0731,0.71989,1.09184,0.72949,0.62002,0.68859,0.47302,1.20983,0.90744,1.2961,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,61647.5,1.07355,0.72701,1.09824,0.72965,0.62009,0.68866,0.47313,1.20967,0.90708,1.29577,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,62325.8,1.06191,0.71563,1.0886,0.72984,0.62027,0.68878,0.47322,1.20954,0.90672,1.29569,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,63003.6,1.06224,0.71839,1.08982,0.73066,0.61983,0.6889,0.47332,1.20957,0.90621,1.29561,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,63682.3,1.0685,0.72844,1.09897,0.72996,0.62036,0.68899,0.47339,1.20959,0.90578,1.29562,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,64357,1.06273,0.7154,1.09562,0.72926,0.62077,0.68911,0.47345,1.2096,0.90522,1.29585,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,65033.2,1.06173,0.70825,1.08604,0.72937,0.62102,0.68916,0.47356,1.2095,0.90479,1.29576,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,65712,1.06194,0.71465,1.09276,0.72966,0.62098,0.68931,0.47367,1.20961,0.90443,1.29611,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,66387.2,1.06551,0.71356,1.09226,0.73001,0.62117,0.68942,0.47371,1.20961,0.90387,1.29614,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,67063.7,1.0476,0.69666,1.08046,0.72959,0.62186,0.68954,0.47361,1.20953,0.90338,1.29586,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
