epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,2458.77,0.95133,0.63914,1.06334,0.87238,0.74764,0.83349,0.58594,0.89972,0.62508,1.07258,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,2504.34,0.94605,0.63853,1.0331,0.88754,0.74537,0.83403,0.58001,0.92605,0.65418,1.07433,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,2548.23,0.95778,0.63365,1.04526,0.85208,0.7745,0.83008,0.58098,0.91065,0.65219,1.07497,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,2592.32,0.9465,0.62155,1.04105,0.87827,0.74758,0.82705,0.58345,0.92493,0.65421,1.09153,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,2636.42,0.90595,0.59647,1.02245,0.84106,0.78234,0.84013,0.58747,0.90293,0.62913,1.05106,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,2681.57,0.90998,0.60345,1.00661,0.88207,0.76843,0.8475,0.56747,0.94802,0.63594,1.08243,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,2726.62,0.90804,0.58064,1.03696,0.90016,0.75107,0.83342,0.57758,0.91947,0.61878,1.0855,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,2770.6,0.89861,0.58681,1.0625,0.89228,0.78132,0.84198,0.57433,0.92666,0.60139,1.10258,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,2814.79,0.9154,0.60287,1.04359,0.88192,0.74707,0.83087,0.57935,0.90843,0.60898,1.06722,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,2861.32,0.8982,0.58094,1.0202,0.83269,0.78268,0.81197,0.56938,0.91381,0.61973,1.06955,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,2907.52,0.89242,0.56121,1.01894,0.88292,0.76017,0.83083,0.57702,0.91817,0.60359,1.08778,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,2953.28,0.89257,0.57391,1.01124,0.90194,0.75405,0.83631,0.58605,0.89762,0.62399,1.04984,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,2997.22,0.9187,0.59611,1.00424,0.89144,0.76399,0.83241,0.58879,0.91362,0.61335,1.09243,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,3042.3,0.89365,0.59166,0.99982,0.84323,0.79522,0.8376,0.59208,0.90546,0.64486,1.08314,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,3087.91,0.88861,0.58015,1.01416,0.91673,0.74291,0.8291,0.57642,0.9256,0.64396,1.09091,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,3132.41,0.86646,0.54969,1.02062,0.92518,0.75001,0.83747,0.5836,0.89379,0.62407,1.07061,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,3176.04,0.87656,0.55273,0.98561,0.86618,0.79122,0.85199,0.59596,0.88886,0.61712,1.06143,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,3221.21,0.88605,0.576,1.01019,0.8932,0.78375,0.84318,0.58712,0.8993,0.62346,1.06928,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,3265,0.86919,0.56116,1.0141,0.91591,0.79195,0.86673,0.60969,0.90659,0.58348,1.07751,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,3310.04,0.83964,0.54526,0.98201,0.88417,0.76022,0.83623,0.58825,0.88922,0.61183,1.0635,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
