epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,19690.2,1.18714,0.68881,1.14151,0.70468,0.70997,0.70627,0.39607,1.53677,0.9023,1.52892,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,19968.1,1.18627,0.67398,1.14779,0.7149,0.7088,0.70449,0.39169,1.53657,0.90361,1.52598,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,20247.6,1.18253,0.68057,1.14064,0.72554,0.69953,0.70178,0.39395,1.53403,0.89953,1.51855,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,20531.5,1.1779,0.67151,1.13294,0.70963,0.71353,0.70377,0.39683,1.52994,0.90365,1.51636,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,20816.7,1.18695,0.68253,1.1466,0.7237,0.71497,0.70797,0.39794,1.5303,0.90302,1.52013,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,21091.6,1.1702,0.67731,1.1393,0.73374,0.71109,0.70961,0.39472,1.53033,0.90485,1.51906,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,21366.3,1.16603,0.67158,1.1408,0.7243,0.71682,0.70725,0.39857,1.53116,0.90628,1.52315,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,21643.2,1.16419,0.67127,1.13752,0.73116,0.7152,0.70979,0.39795,1.53261,0.90223,1.52361,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,21918.1,1.17395,0.67134,1.13837,0.74149,0.71005,0.7136,0.39705,1.53147,0.91028,1.52261,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,22195.4,1.16799,0.66497,1.13523,0.73036,0.71411,0.7114,0.3981,1.53216,0.9079,1.52111,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,22477.3,1.15382,0.66181,1.12713,0.75618,0.69819,0.71288,0.40027,1.53178,0.90406,1.52174,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,22756.7,1.17061,0.67271,1.143,0.75824,0.69039,0.71044,0.40211,1.52979,0.90692,1.52387,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,23029.9,1.14935,0.66032,1.13179,0.7379,0.71212,0.71072,0.40155,1.52746,0.89853,1.52421,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,23305.7,1.15456,0.65689,1.12563,0.73535,0.70792,0.71226,0.39851,1.53102,0.90216,1.52907,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,23580.5,1.15657,0.65555,1.12039,0.74699,0.69147,0.71235,0.39912,1.52799,0.90088,1.52393,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,23871.3,1.14661,0.65848,1.12887,0.73194,0.70333,0.71394,0.40135,1.53044,0.90504,1.52743,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,24147.1,1.14769,0.65461,1.13111,0.72192,0.71591,0.71367,0.4023,1.53103,0.90119,1.53071,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,24422.2,1.13873,0.65622,1.1254,0.71929,0.71994,0.71712,0.40444,1.5287,0.89842,1.52938,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,24696.8,1.14232,0.65317,1.12344,0.73723,0.70648,0.71685,0.4041,1.52805,0.89826,1.52813,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,24972.3,1.13694,0.6504,1.11667,0.7314,0.70672,0.71683,0.40492,1.52666,0.89744,1.52778,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,25251.1,1.14447,0.65704,1.12597,0.74178,0.70184,0.71818,0.40463,1.5278,0.89771,1.53208,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,25533.7,1.13887,0.64866,1.11546,0.7352,0.7066,0.71742,0.40438,1.52759,0.89992,1.53372,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,25812.8,1.13152,0.64808,1.10585,0.7388,0.70121,0.71673,0.4065,1.52711,0.89885,1.53206,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,26097.4,1.13134,0.64618,1.11326,0.73511,0.70508,0.71615,0.40516,1.52698,0.90068,1.53274,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,26377.8,1.13893,0.64524,1.11364,0.73956,0.70402,0.71626,0.4067,1.52753,0.90078,1.53434,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,26660.7,1.12976,0.64981,1.11325,0.74592,0.70218,0.71586,0.40808,1.52736,0.90237,1.53558,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,26939.1,1.1293,0.64559,1.11232,0.75101,0.6976,0.71409,0.40383,1.5274,0.90174,1.53811,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,27224.5,1.12965,0.64532,1.11679,0.73547,0.70364,0.71214,0.40256,1.52899,0.90318,1.54172,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,27503.3,1.12075,0.6452,1.1132,0.73328,0.70448,0.71214,0.40407,1.52698,0.90391,1.54084,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,27779,1.11922,0.63422,1.10576,0.7323,0.70225,0.70979,0.40349,1.5255,0.90378,1.5394,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,28055.7,1.11873,0.63044,1.10783,0.73572,0.70077,0.70953,0.40272,1.52421,0.90415,1.53924,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,28332.3,1.11092,0.62867,1.10994,0.73824,0.69961,0.70852,0.40205,1.52378,0.90164,1.53945,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,28620.6,1.10339,0.62047,1.10898,0.73811,0.69991,0.70838,0.40209,1.52262,0.90127,1.53995,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,28894.7,1.10265,0.62399,1.09761,0.7427,0.69821,0.70788,0.40171,1.52233,0.90378,1.54046,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,29170.9,1.10368,0.63005,1.10038,0.73737,0.70014,0.7086,0.40331,1.52187,0.90563,1.5398,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,29448.4,1.10607,0.63335,1.09913,0.74232,0.69962,0.70756,0.40294,1.52229,0.90877,1.54046,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,29727.5,1.11871,0.63162,1.09823,0.74568,0.69821,0.7072,0.40364,1.52286,0.9119,1.54121,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
