epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1764.72,1.40918,1.2692,1.36103,0.39655,0.37366,0.31316,0.14954,1.88736,1.97209,1.80891,0.000591006,0.000591006,0.000591006
89,1784.58,1.45284,1.34446,1.34069,0.44728,0.34157,0.31583,0.15206,1.87019,2.02351,1.81242,0.000589593,0.000589593,0.000589593
90,1803.62,1.40409,1.27929,1.32065,0.39751,0.39813,0.31893,0.15151,1.8791,1.99657,1.80584,0.000588179,0.000588179,0.000588179
91,1822.73,1.39263,1.30317,1.3714,0.44779,0.35991,0.32368,0.14968,1.90845,2.08901,1.80123,0.000586765,0.000586765,0.000586765
92,1842.61,1.39968,1.26151,1.33693,0.40634,0.39104,0.30288,0.14088,1.88198,2.01373,1.78102,0.000585351,0.000585351,0.000585351
93,1861.61,1.38191,1.29742,1.34117,0.45938,0.35364,0.32545,0.15296,1.86679,2.02028,1.8118,0.000583938,0.000583938,0.000583938
94,1880.98,1.37982,1.29208,1.30056,0.46887,0.35931,0.31957,0.14586,1.90961,2.02098,1.84764,0.000582524,0.000582524,0.000582524
95,1900.42,1.37911,1.24854,1.35819,0.45729,0.39528,0.32481,0.15314,1.89082,2.02026,1.82813,0.00058111,0.00058111,0.00058111
96,1920.35,1.34938,1.24977,1.31966,0.47138,0.39659,0.34025,0.15745,1.90489,2.02048,1.81524,0.000579697,0.000579697,0.000579697
97,1940.25,1.34951,1.24927,1.28505,0.40487,0.37812,0.32378,0.15077,1.93669,2.02326,1.82483,0.000578283,0.000578283,0.000578283
98,1960.04,1.31314,1.23111,1.33123,0.3955,0.3741,0.28665,0.13295,1.90818,2.11837,1.81393,0.000576869,0.000576869,0.000576869
99,1979.33,1.35691,1.22218,1.32539,0.43582,0.37001,0.32661,0.15078,1.9122,2.00309,1.84834,0.000575455,0.000575455,0.000575455
100,1998.55,1.36067,1.23683,1.32897,0.45771,0.3961,0.33376,0.16004,1.87363,1.98317,1.82318,0.000574042,0.000574042,0.000574042
101,2018.52,1.34031,1.22451,1.27691,0.43375,0.36385,0.32895,0.15783,1.87743,1.9586,1.83431,0.000572628,0.000572628,0.000572628
102,2038.88,1.36557,1.25324,1.31821,0.45385,0.39892,0.33976,0.16481,1.84966,1.93923,1.81164,0.000571214,0.000571214,0.000571214
103,2058.78,1.31543,1.1993,1.28412,0.43769,0.39654,0.32019,0.1528,1.89765,2.00803,1.82822,0.000569801,0.000569801,0.000569801
104,2078.62,1.33867,1.202,1.26871,0.46555,0.40014,0.33768,0.16325,1.8945,1.98517,1.84761,0.000568387,0.000568387,0.000568387
105,2098.15,1.3117,1.16707,1.27369,0.43765,0.38502,0.33428,0.16315,1.82251,1.94679,1.78922,0.000566973,0.000566973,0.000566973
106,2117.79,1.26823,1.16315,1.27753,0.46695,0.39201,0.33216,0.16285,1.83946,1.93267,1.80574,0.000565559,0.000565559,0.000565559
107,2136.71,1.28973,1.24487,1.28778,0.47,0.38785,0.34665,0.16701,1.87401,1.92211,1.82775,0.000564146,0.000564146,0.000564146
108,2156.88,1.3275,1.21647,1.30536,0.43425,0.40131,0.33835,0.15901,1.91742,2.12164,1.84253,0.000562732,0.000562732,0.000562732
109,2176.41,1.3139,1.17833,1.30173,0.4276,0.36124,0.32881,0.15438,1.88735,1.97453,1.82007,0.000561318,0.000561318,0.000561318
110,2196.2,1.27003,1.13832,1.26098,0.49507,0.39035,0.32354,0.15417,1.85546,1.99595,1.82356,0.000559905,0.000559905,0.000559905
111,2215.72,1.31254,1.18601,1.29393,0.48761,0.40657,0.34431,0.16567,1.88404,2.0031,1.80356,0.000558491,0.000558491,0.000558491
112,2235.08,1.29812,1.13932,1.2954,0.45712,0.40277,0.34341,0.16416,1.8419,1.92822,1.80126,0.000557077,0.000557077,0.000557077
113,2254.73,1.36356,1.19268,1.28264,0.4285,0.40281,0.33641,0.1636,1.87097,1.93413,1.8127,0.000555663,0.000555663,0.000555663
114,2274.95,1.33415,1.16333,1.28316,0.49835,0.36005,0.33765,0.16709,1.85151,1.93941,1.84332,0.00055425,0.00055425,0.00055425
115,2294.59,1.24904,1.11398,1.25768,0.47698,0.40622,0.35708,0.1703,1.83343,1.95491,1.79863,0.000552836,0.000552836,0.000552836
116,2315.3,1.25319,1.1202,1.23331,0.47966,0.39697,0.34184,0.16681,1.82964,1.93635,1.77289,0.000551422,0.000551422,0.000551422
117,2334.51,1.25685,1.1542,1.25512,0.46457,0.38737,0.32766,0.15369,1.89987,2.02458,1.82985,0.000550008,0.000550008,0.000550008
118,2354.43,1.22378,1.10687,1.25675,0.44865,0.39501,0.33512,0.16414,1.88012,2.00082,1.82055,0.000548595,0.000548595,0.000548595
119,2374.97,1.27308,1.1047,1.2534,0.41599,0.42207,0.33736,0.16261,1.86785,1.95901,1.82065,0.000547181,0.000547181,0.000547181
120,2395.6,1.25317,1.09269,1.25781,0.49131,0.42027,0.36486,0.17781,1.84303,1.88437,1.79407,0.000545767,0.000545767,0.000545767
121,2415.43,1.27307,1.09739,1.26037,0.48012,0.41568,0.33658,0.1646,1.86579,1.96084,1.82092,0.000544354,0.000544354,0.000544354
122,2435.35,1.27554,1.1225,1.23539,0.46011,0.39207,0.33803,0.16777,1.85648,1.92894,1.82246,0.00054294,0.00054294,0.00054294
123,2455.19,1.23845,1.12704,1.25594,0.58828,0.39389,0.37603,0.17606,1.82109,1.91243,1.78042,0.000541526,0.000541526,0.000541526
124,2475.47,1.26092,1.12595,1.27683,0.43666,0.43399,0.35459,0.17402,1.83339,1.8933,1.80344,0.000540112,0.000540112,0.000540112
125,2494.89,1.31394,1.12899,1.26694,0.50148,0.39944,0.37136,0.18036,1.84269,1.8885,1.80016,0.000538699,0.000538699,0.000538699
126,2515.01,1.25816,1.11446,1.27449,0.50738,0.41375,0.36469,0.17877,1.86246,1.872,1.83578,0.000537285,0.000537285,0.000537285
127,2534.75,1.23043,1.07987,1.24705,0.43223,0.44206,0.35581,0.17711,1.82847,1.87119,1.81477,0.000535871,0.000535871,0.000535871
128,2555.58,1.21962,1.03111,1.25164,0.49606,0.40596,0.35926,0.17852,1.8616,1.89236,1.82226,0.000534458,0.000534458,0.000534458
129,2575.25,1.2335,1.06858,1.23959,0.4701,0.43105,0.36425,0.1783,1.83903,1.88444,1.81367,0.000533044,0.000533044,0.000533044
130,2594.87,1.24237,1.0234,1.21508,0.44298,0.45294,0.36898,0.18487,1.81365,1.84076,1.80493,0.00053163,0.00053163,0.00053163
131,2614.96,1.24318,1.05054,1.21674,0.44906,0.41618,0.35488,0.17273,1.86772,1.90565,1.83187,0.000530216,0.000530216,0.000530216
132,2635.07,1.25527,1.05877,1.22755,0.50705,0.39164,0.34833,0.17437,1.84053,1.90804,1.80499,0.000528803,0.000528803,0.000528803
133,2654.56,1.22775,1.04073,1.23452,0.47509,0.4216,0.35914,0.17834,1.81914,1.86566,1.81391,0.000527389,0.000527389,0.000527389
134,2673.94,1.24092,1.09296,1.23177,0.50857,0.43823,0.36953,0.18383,1.82941,1.80117,1.81754,0.000525975,0.000525975,0.000525975
135,2693.7,1.24146,1.08701,1.21153,0.48507,0.39908,0.36055,0.18137,1.83199,1.82938,1.80393,0.000524562,0.000524562,0.000524562
136,2713.62,1.25618,1.06684,1.20481,0.48118,0.40107,0.34221,0.16522,1.83838,1.92285,1.84169,0.000523148,0.000523148,0.000523148
137,2733.04,1.22603,1.05051,1.20681,0.52976,0.42655,0.36348,0.17735,1.7942,1.87725,1.80346,0.000521734,0.000521734,0.000521734
138,2752.74,1.28699,1.09764,1.25823,0.51433,0.44105,0.3788,0.18166,1.79498,1.90793,1.81324,0.00052032,0.00052032,0.00052032
139,2772.29,1.24853,1.06478,1.22022,0.50803,0.42033,0.36153,0.18235,1.82181,1.85699,1.82847,0.000518907,0.000518907,0.000518907
140,2792.36,1.21625,1.01322,1.21455,0.471,0.42758,0.35978,0.18035,1.81631,1.8562,1.83687,0.000517493,0.000517493,0.000517493
141,2812.34,1.26629,1.07469,1.22058,0.51339,0.40472,0.35198,0.17103,1.83358,1.89092,1.83497,0.000516079,0.000516079,0.000516079
142,2832.42,1.22124,1.04346,1.22008,0.44362,0.44383,0.35942,0.18276,1.79089,1.83666,1.80081,0.000514665,0.000514665,0.000514665
143,2852.03,1.18495,1.05831,1.22909,0.43512,0.41109,0.34871,0.17697,1.82361,1.88057,1.81819,0.000513252,0.000513252,0.000513252
144,2871.62,1.20945,1.02064,1.21636,0.48057,0.41022,0.36042,0.18304,1.79965,1.82145,1.81731,0.000511838,0.000511838,0.000511838
145,2891.26,1.18181,0.98255,1.20375,0.5112,0.40404,0.36123,0.18064,1.82764,1.87989,1.8442,0.000510424,0.000510424,0.000510424
146,2911.17,1.21496,1.00013,1.20709,0.48289,0.43287,0.37126,0.18736,1.7956,1.82072,1.8207,0.000509011,0.000509011,0.000509011
147,2930.93,1.19991,1.00058,1.20381,0.48768,0.40892,0.37277,0.18705,1.81878,1.81723,1.83753,0.000507597,0.000507597,0.000507597
148,2950.63,1.19241,1.09206,1.21883,0.46417,0.47349,0.35845,0.18082,1.7938,1.84759,1.81843,0.000506183,0.000506183,0.000506183
149,2970.65,1.17213,0.993,1.17349,0.46284,0.43497,0.36379,0.18034,1.85663,1.84585,1.86,0.000504769,0.000504769,0.000504769
150,2990.5,1.19998,1.02981,1.2222,0.45665,0.4274,0.36376,0.17965,1.80952,1.83547,1.81715,0.000503356,0.000503356,0.000503356
151,3009.9,1.17723,0.98837,1.19827,0.48604,0.40691,0.35856,0.1798,1.81725,1.86045,1.8178,0.000501942,0.000501942,0.000501942
152,3029.57,1.19234,1.01466,1.21863,0.53055,0.42549,0.37068,0.18814,1.78503,1.79909,1.80124,0.000500528,0.000500528,0.000500528
153,3050.51,1.19054,1.03746,1.22875,0.58709,0.42322,0.39556,0.19975,1.81285,1.83322,1.84481,0.000499115,0.000499115,0.000499115
154,3071.28,1.19144,0.98869,1.19757,0.48871,0.4135,0.36836,0.18452,1.78232,1.79347,1.82764,0.000497701,0.000497701,0.000497701
155,3090.89,1.14232,0.98394,1.20122,0.45936,0.41469,0.35248,0.17142,1.8283,1.86594,1.84218,0.000496287,0.000496287,0.000496287
156,3110.83,1.19807,1.03803,1.22242,0.5205,0.42069,0.37661,0.18965,1.79516,1.81342,1.80226,0.000494873,0.000494873,0.000494873
157,3130.5,1.17202,0.98763,1.2073,0.46934,0.44591,0.37419,0.18991,1.8235,1.84086,1.84891,0.00049346,0.00049346,0.00049346
158,3149.8,1.12943,0.96098,1.16354,0.49965,0.44419,0.37513,0.19279,1.79623,1.7811,1.85182,0.000492046,0.000492046,0.000492046
159,3169.39,1.14166,1.00164,1.20448,0.51311,0.40595,0.36295,0.18272,1.76906,1.85965,1.78925,0.000490632,0.000490632,0.000490632
160,3189.51,1.18153,0.96835,1.18871,0.47541,0.43509,0.36799,0.18955,1.79732,1.81687,1.84254,0.000489219,0.000489219,0.000489219
161,3209.29,1.17365,0.99036,1.17582,0.46504,0.44416,0.37224,0.19155,1.77883,1.83939,1.83638,0.000487805,0.000487805,0.000487805
162,3229.34,1.18759,0.98911,1.20396,0.52553,0.41197,0.36933,0.18879,1.80408,1.83356,1.82147,0.000486391,0.000486391,0.000486391
163,3249.17,1.15452,0.96636,1.19353,0.48919,0.43671,0.37304,0.18738,1.77917,1.82931,1.81174,0.000484977,0.000484977,0.000484977
164,3268.54,1.15899,0.96109,1.1622,0.47993,0.43755,0.36082,0.18475,1.79896,1.82881,1.85407,0.000483564,0.000483564,0.000483564
165,3288.2,1.17463,0.99585,1.19771,0.45797,0.45138,0.37046,0.187,1.78717,1.77529,1.83866,0.00048215,0.00048215,0.00048215
166,3307.64,1.11867,0.95306,1.18414,0.45689,0.43632,0.37966,0.1946,1.7828,1.76956,1.83175,0.000480736,0.000480736,0.000480736
167,3326.83,1.13142,0.95455,1.15636,0.5007,0.45112,0.38712,0.20066,1.77106,1.79494,1.82566,0.000479322,0.000479322,0.000479322
168,3346.9,1.13077,0.97747,1.1949,0.4935,0.43149,0.36966,0.18674,1.80688,1.81622,1.82435,0.000477909,0.000477909,0.000477909
169,3365.89,1.15113,0.99141,1.1963,0.51527,0.41872,0.3696,0.19111,1.78811,1.79023,1.81745,0.000476495,0.000476495,0.000476495
170,3385.67,1.13861,0.95515,1.15424,0.49128,0.41598,0.37182,0.19239,1.77028,1.80124,1.79663,0.000475081,0.000475081,0.000475081
171,3405.48,1.13221,0.95348,1.18685,0.52589,0.43248,0.38304,0.19858,1.78037,1.80675,1.82944,0.000473668,0.000473668,0.000473668
172,3425.11,1.1359,0.97018,1.19254,0.48534,0.44961,0.3827,0.19677,1.78873,1.79149,1.83849,0.000472254,0.000472254,0.000472254
173,3444.73,1.09871,0.95343,1.17147,0.50568,0.41768,0.36952,0.18923,1.8296,1.84481,1.89013,0.00047084,0.00047084,0.00047084
174,3464.54,1.10573,0.93243,1.17108,0.48254,0.43463,0.37545,0.19331,1.776,1.78872,1.85963,0.000469426,0.000469426,0.000469426
175,3483.78,1.11148,0.92459,1.16529,0.48054,0.42282,0.37189,0.1892,1.78843,1.84018,1.82612,0.000468013,0.000468013,0.000468013
176,3502.73,1.14693,0.99988,1.18586,0.49516,0.44077,0.37962,0.19707,1.7836,1.77397,1.83348,0.000466599,0.000466599,0.000466599
177,3522.19,1.10826,0.91676,1.13832,0.48117,0.43141,0.36697,0.19062,1.78525,1.80113,1.83902,0.000465185,0.000465185,0.000465185
178,3542.08,1.14058,0.95035,1.16558,0.5174,0.43354,0.38617,0.20116,1.75229,1.81985,1.8046,0.000463772,0.000463772,0.000463772
179,3562.25,1.11564,0.93962,1.16496,0.48329,0.44668,0.38103,0.19551,1.81583,1.81399,1.88509,0.000462358,0.000462358,0.000462358
180,3582.41,1.1038,0.93354,1.16657,0.51009,0.42045,0.37035,0.19106,1.7973,1.83413,1.87062,0.000460944,0.000460944,0.000460944
181,3601.37,1.10155,0.93606,1.17005,0.47261,0.45584,0.37292,0.19033,1.78417,1.8256,1.85113,0.00045953,0.00045953,0.00045953
182,3620.83,1.08776,0.95037,1.15755,0.49185,0.43378,0.36765,0.19059,1.79605,1.81539,1.86448,0.000458117,0.000458117,0.000458117
