archivo,lat,lon,ventanas_detectadas,pisos_detectados
19.405471_-99.170389.jpg,19.405471,-99.170389,8,2
19.405472_-99.177094.jpg,19.405472,-99.177094,3,1
19.405475_-99.174235.jpg,19.405475,-99.174235,9,3
19.405476_-99.169727.jpg,19.405476,-99.169727,5,3
19.405493_-99.169653.jpg,19.405493,-99.169653,6,1
19.405493_-99.174418.jpg,19.405493,-99.174418,3,2
19.405508_-99.175752.jpg,19.405508,-99.175752,11,3
19.405510_-99.175682.jpg,19.40551,-99.175682,14,3
19.405511_-99.169580.jpg,19.405511,-99.16958,21,4
19.405511_-99.169853.jpg,19.405511,-99.169853,13,4
19.405512_-99.175606.jpg,19.405512,-99.175606,10,2
19.405516_-99.175533.jpg,19.405516,-99.175533,11,2
19.405521_-99.171883.jpg,19.405521,-99.171883,6,2
19.405527_-99.175832.jpg,19.405527,-99.175832,10,2
19.405528_-99.169506.jpg,19.405528,-99.169506,11,2
19.405532_-99.175464.jpg,19.405532,-99.175464,10,2
19.405533_-99.169407.jpg,19.405533,-99.169407,14,4
19.405534_-99.171407.jpg,19.405534,-99.171407,1,1
19.405535_-99.175395.jpg,19.405535,-99.175395,13,4
19.405539_-99.175928.jpg,19.405539,-99.175928,0,0
19.405544_-99.170826.jpg,19.405544,-99.170826,8,2
19.405549_-99.174685.jpg,19.405549,-99.174685,10,3
19.405549_-99.174811.jpg,19.405549,-99.174811,19,3
19.405549_-99.175181.jpg,19.405549,-99.175181,3,1
19.405552_-99.175298.jpg,19.405552,-99.175298,11,2
19.405554_-99.169313.jpg,19.405554,-99.169313,5,3
19.405559_-99.173578.jpg,19.405559,-99.173578,1,1
19.405561_-99.174897.jpg,19.405561,-99.174897,4,2
19.405562_-99.170195.jpg,19.405562,-99.170195,15,3
19.405563_-99.170413.jpg,19.405563,-99.170413,13,5
19.405570_-99.174150.jpg,19.40557,-99.17415,14,2
19.405572_-99.177390.jpg,19.405572,-99.17739,14,2
19.405582_-99.171139.jpg,19.405582,-99.171139,6,2
19.405584_-99.174379.jpg,19.405584,-99.174379,9,3
19.405585_-99.173153.jpg,19.405585,-99.173153,8,2
19.405586_-99.174253.jpg,19.405586,-99.174253,17,2
19.405596_-99.171009.jpg,19.405596,-99.171009,0,0
19.405596_-99.173854.jpg,19.405596,-99.173854,19,3
19.405599_-99.173235.jpg,19.405599,-99.173235,14,3
19.405601_-99.169874.jpg,19.405601,-99.169874,9,3
19.405619_-99.171268.jpg,19.405619,-99.171268,11,5
19.405639_-99.171471.jpg,19.405639,-99.171471,21,2
19.405651_-99.171363.jpg,19.405651,-99.171363,8,1
19.405655_-99.168951.jpg,19.405655,-99.168951,2,1
19.405659_-99.170858.jpg,19.405659,-99.170858,0,0
19.405661_-99.169771.jpg,19.405661,-99.169771,15,1
19.405671_-99.169698.jpg,19.405671,-99.169698,10,3
19.405677_-99.170450.jpg,19.405677,-99.17045,9,3
19.405680_-99.169625.jpg,19.40568,-99.169625,11,4
19.405680_-99.170285.jpg,19.40568,-99.170285,28,2
19.405685_-99.169472.jpg,19.405685,-99.169472,15,3
19.405691_-99.169550.jpg,19.405691,-99.16955,10,3
19.405692_-99.170179.jpg,19.405692,-99.170179,5,1
19.405697_-99.169377.jpg,19.405697,-99.169377,13,4
19.405698_-99.169901.jpg,19.405698,-99.169901,8,1
19.405797_-99.177163.jpg,19.405797,-99.177163,6,1
19.405840_-99.176790.jpg,19.40584,-99.17679,18,2
19.405864_-99.177263.jpg,19.405864,-99.177263,8,2
