epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1539.74,1.20254,0.94483,1.15773,0.43584,0.32982,0.28977,0.18253,1.45079,1.56554,1.31903,0.000303331,0.000303331,0.000303331
63,1564.12,1.20655,0.94507,1.15421,0.45394,0.31674,0.27326,0.17498,1.4423,1.57159,1.29947,0.000302648,0.000302648,0.000302648
64,1588.61,1.25485,0.96574,1.15152,0.40916,0.34001,0.29577,0.18394,1.45118,1.5876,1.32552,0.000301965,0.000301965,0.000301965
65,1613.05,1.17672,0.91573,1.12418,0.44223,0.33296,0.28493,0.18427,1.43096,1.548,1.30301,0.000301282,0.000301282,0.000301282
66,1637.23,1.16617,0.91662,1.13902,0.40462,0.33439,0.28487,0.18261,1.44784,1.52774,1.32884,0.000300598,0.000300598,0.000300598
67,1661.25,1.11555,0.86281,1.0994,0.51161,0.30637,0.29607,0.18434,1.46023,1.54816,1.34071,0.000299915,0.000299915,0.000299915
68,1685.35,1.18018,0.90463,1.12441,0.47669,0.332,0.28767,0.1869,1.47856,1.53524,1.32409,0.000299232,0.000299232,0.000299232
69,1709.52,1.15113,0.88595,1.1219,0.46671,0.345,0.28634,0.18486,1.45354,1.55668,1.32005,0.000298549,0.000298549,0.000298549
70,1734.1,1.09092,0.84315,1.09539,0.49752,0.33654,0.29846,0.19551,1.45087,1.55898,1.3193,0.000297866,0.000297866,0.000297866
71,1759.43,1.22294,0.9384,1.141,0.49069,0.34439,0.30594,0.20007,1.43787,1.54268,1.3165,0.000297183,0.000297183,0.000297183
72,1784.63,1.14979,0.89808,1.12542,0.48131,0.32983,0.28559,0.18352,1.44608,1.55305,1.30142,0.0002965,0.0002965,0.0002965
73,1809.61,1.12503,0.85871,1.09994,0.46876,0.31028,0.27896,0.18223,1.44687,1.57865,1.31428,0.000295817,0.000295817,0.000295817
74,1833.95,1.15986,0.91014,1.13912,0.42991,0.34315,0.28175,0.18216,1.46954,1.58175,1.33687,0.000295134,0.000295134,0.000295134
75,1858.2,1.18446,0.89538,1.11991,0.45793,0.32639,0.27528,0.17959,1.46914,1.58093,1.32286,0.000294451,0.000294451,0.000294451
76,1882.38,1.10948,0.84961,1.09143,0.37658,0.35126,0.28812,0.18632,1.44962,1.55294,1.31166,0.000293768,0.000293768,0.000293768
77,1906.02,1.13813,0.85552,1.10491,0.41546,0.34648,0.28637,0.1828,1.45132,1.56414,1.32185,0.000293084,0.000293084,0.000293084
78,1930.25,1.08622,0.8231,1.0826,0.39119,0.34856,0.29065,0.18913,1.44362,1.56361,1.3164,0.000292401,0.000292401,0.000292401
79,1954.43,1.12866,0.85917,1.10004,0.48645,0.34269,0.29186,0.19137,1.45866,1.56944,1.33652,0.000291718,0.000291718,0.000291718
80,1979.82,1.11494,0.83812,1.0965,0.36919,0.34517,0.27494,0.18024,1.46174,1.56993,1.31931,0.000291035,0.000291035,0.000291035
81,2005.4,1.17016,0.89566,1.12854,0.4735,0.31395,0.27954,0.18113,1.46717,1.55368,1.34231,0.000290352,0.000290352,0.000290352
82,2029.8,1.12451,0.83465,1.08331,0.4644,0.33779,0.28412,0.18551,1.45464,1.52523,1.33301,0.000289669,0.000289669,0.000289669
83,2053.93,1.05796,0.80723,1.08588,0.44264,0.32836,0.29019,0.18873,1.46999,1.53748,1.3344,0.000288986,0.000288986,0.000288986
84,2078.39,1.11088,0.84921,1.09831,0.48846,0.31141,0.28337,0.18127,1.47477,1.53718,1.32807,0.000288303,0.000288303,0.000288303
85,2102.95,1.11486,0.85449,1.10013,0.4488,0.34951,0.28976,0.18382,1.46952,1.5414,1.33435,0.00028762,0.00028762,0.00028762
86,2127.79,1.10063,0.83275,1.09032,0.44547,0.31164,0.28063,0.18094,1.45898,1.56934,1.32099,0.000286936,0.000286936,0.000286936
87,2152.82,1.10821,0.85138,1.10216,0.42065,0.33982,0.28827,0.18602,1.47477,1.56039,1.33184,0.000286253,0.000286253,0.000286253
88,2177.18,1.10421,0.83495,1.0915,0.49979,0.32581,0.29547,0.19288,1.47999,1.57533,1.35147,0.00028557,0.00028557,0.00028557
89,2201.31,1.09959,0.80814,1.07574,0.48131,0.33153,0.28656,0.18628,1.48607,1.52772,1.33413,0.000284887,0.000284887,0.000284887
90,2225.88,1.16044,0.88504,1.11873,0.4618,0.3285,0.28658,0.18713,1.44907,1.52287,1.33008,0.000284204,0.000284204,0.000284204
91,2249.58,1.11174,0.83111,1.0838,0.4682,0.32373,0.29088,0.18411,1.45616,1.56246,1.34144,0.000283521,0.000283521,0.000283521
92,2273.93,1.15416,0.8767,1.1129,0.40181,0.35147,0.284,0.18428,1.46236,1.55187,1.34876,0.000282838,0.000282838,0.000282838
93,2298.04,1.12726,0.84206,1.09102,0.41312,0.33247,0.2904,0.18426,1.47515,1.56037,1.35535,0.000282155,0.000282155,0.000282155
94,2321.97,1.16911,0.8769,1.11808,0.43644,0.31385,0.28147,0.18259,1.47037,1.55449,1.34898,0.000281472,0.000281472,0.000281472
95,2346.11,1.10146,0.81979,1.08576,0.48808,0.32477,0.28271,0.18464,1.46367,1.54919,1.35432,0.000280789,0.000280789,0.000280789
96,2370.36,1.09815,0.81296,1.08327,0.48164,0.32759,0.28889,0.1892,1.47009,1.5838,1.34276,0.000280106,0.000280106,0.000280106
97,2394.38,1.18481,0.8857,1.11066,0.39253,0.39846,0.30548,0.18502,1.47271,1.55065,1.35069,0.000279422,0.000279422,0.000279422
98,2418.06,1.10519,0.82589,1.08368,0.48171,0.32934,0.28951,0.18616,1.46625,1.5371,1.34046,0.000278739,0.000278739,0.000278739
99,2441.45,1.04741,0.78215,1.0669,0.49776,0.31826,0.28884,0.18372,1.46961,1.55968,1.33505,0.000278056,0.000278056,0.000278056
100,2465.65,1.09973,0.81927,1.08421,0.49035,0.31984,0.28477,0.18497,1.44896,1.56494,1.33146,0.000277373,0.000277373,0.000277373
101,2489.7,1.15107,0.8533,1.09848,0.44642,0.35143,0.28766,0.18251,1.46636,1.61052,1.3382,0.00027669,0.00027669,0.00027669
102,2513.87,1.15963,0.85866,1.10681,0.39013,0.37159,0.30399,0.18981,1.47067,1.57974,1.3397,0.000276007,0.000276007,0.000276007
103,2537.73,1.04876,0.77075,1.06103,0.46153,0.32144,0.28345,0.18423,1.47624,1.59264,1.35087,0.000275324,0.000275324,0.000275324
104,2561.69,1.06231,0.77606,1.0619,0.42288,0.33846,0.28045,0.18021,1.48648,1.57067,1.36499,0.000274641,0.000274641,0.000274641
105,2585.41,1.07135,0.7963,1.07638,0.46712,0.3339,0.28536,0.18509,1.46782,1.55237,1.34021,0.000273958,0.000273958,0.000273958
106,2609.62,1.04721,0.78336,1.0816,0.45848,0.31414,0.27893,0.1803,1.47455,1.60694,1.35951,0.000273275,0.000273275,0.000273275
107,2633.55,1.07121,0.80146,1.08062,0.45153,0.34604,0.28404,0.18271,1.4612,1.58047,1.34315,0.000272591,0.000272591,0.000272591
108,2657.3,1.11856,0.82362,1.0913,0.46002,0.32076,0.29402,0.18512,1.46933,1.58307,1.33853,0.000271908,0.000271908,0.000271908
109,2681.44,1.11721,0.8174,1.07727,0.42033,0.3186,0.28439,0.18144,1.46816,1.56499,1.34299,0.000271225,0.000271225,0.000271225
110,2705.54,1.06812,0.77664,1.05427,0.48534,0.32965,0.29056,0.18653,1.48365,1.57799,1.35712,0.000270542,0.000270542,0.000270542
111,2729.69,1.05744,0.76727,1.05122,0.47662,0.30999,0.28066,0.17955,1.48779,1.57302,1.3513,0.000269859,0.000269859,0.000269859
112,2753.84,1.03572,0.73904,1.041,0.49813,0.35015,0.30211,0.19442,1.48188,1.55628,1.3626,0.000269176,0.000269176,0.000269176
113,2778.54,1.01597,0.73997,1.04915,0.49232,0.32776,0.29103,0.18431,1.47919,1.57633,1.35725,0.000268493,0.000268493,0.000268493
114,2802.97,1.135,0.82643,1.08867,0.47141,0.319,0.28322,0.18056,1.47152,1.58953,1.34573,0.00026781,0.00026781,0.00026781
115,2826.95,1.13337,0.80914,1.07867,0.46573,0.32304,0.28744,0.18519,1.47148,1.54816,1.34281,0.000267127,0.000267127,0.000267127
116,2851.25,1.06624,0.76259,1.04848,0.43483,0.32469,0.2789,0.18439,1.48306,1.59628,1.37218,0.000266444,0.000266444,0.000266444
117,2875.59,1.02673,0.74551,1.04492,0.46906,0.34848,0.30056,0.18768,1.47412,1.6062,1.36188,0.00026576,0.00026576,0.00026576
118,2899.85,1.03562,0.75351,1.0503,0.50711,0.32676,0.31347,0.21059,1.48686,1.57258,1.35473,0.000265077,0.000265077,0.000265077
119,2924.22,1.02599,0.74462,1.04461,0.49172,0.35169,0.29378,0.19046,1.47652,1.57955,1.36753,0.000264394,0.000264394,0.000264394
120,2947.39,1.02838,0.7411,1.04712,0.38631,0.40373,0.32386,0.20089,1.47022,1.55498,1.36133,0.000263711,0.000263711,0.000263711
